property name,property location,property type,property circle rate /100 sqm,property circle_rates per sq feet,property plot_area,property far,property built up area,property age,property Multi_factor,property_construction_cost,property valuation,presumed annual rent by valuation method,property_class,presumed annual rent per feet,presumed annual rent by built up method,presumed annual rent for annual rateable value calculation,annual rateable value,property_tax
zzmfv,marwad,commercial,188764.8,175.37,200.0,0.5,100.0,6,0.9,1000,125073.68,6253.68,1,120.0,12000.0,6253.68,5628.32,309.56
ehpsu,marwad,commercial,188764.8,175.37,200.0,0.5,100.0,6,0.9,1100,134073.68,6703.68,1,120.0,12000.0,6703.68,6033.32,331.83
bvxto,marwad,commercial,188764.8,175.37,200.0,0.5,100.0,6,0.9,1300,152073.68,7603.68,1,120.0,12000.0,7603.68,6843.32,376.38
zdmky,marwad,commercial,188764.8,175.37,200.0,0.5,100.0,11,0.8,700,91073.68,4553.68,1,120.0,12000.0,4553.68,4098.32,225.41
jejgt,marwad,commercial,188764.8,175.37,200.0,0.5,100.0,11,0.8,1000,115073.68,5753.68,1,120.0,12000.0,5753.68,5178.32,284.81
rlmcg,marwad,commercial,188764.8,175.37,200.0,0.5,100.0,11,0.8,1100,123073.68,6153.68,1,120.0,12000.0,6153.68,5538.32,304.61
fpunp,marwad,commercial,188764.8,175.37,200.0,0.5,100.0,11,0.8,1300,139073.68,6953.68,1,120.0,12000.0,6953.68,6258.32,344.21
pinwg,marwad,commercial,188764.8,175.37,200.0,0.5,100.0,16,0.7,700,84073.68,4203.68,1,120.0,12000.0,4203.68,3783.32,208.08
fvdpf,marwad,commercial,188764.8,175.37,200.0,0.5,100.0,16,0.7,1000,105073.68,5253.68,1,120.0,12000.0,5253.68,4728.32,260.06
kgmth,marwad,commercial,188764.8,175.37,200.0,0.5,100.0,16,0.7,1100,112073.68,5603.68,1,120.0,12000.0,5603.68,5043.32,277.38
cycox,marwad,commercial,188764.8,175.37,200.0,0.5,100.0,16,0.7,1300,126073.68,6303.68,1,120.0,12000.0,6303.68,5673.32,312.03
odvht,marwad,commercial,188764.8,175.37,200.0,0.5,100.0,21,0.6,700,77073.68,3853.68,1,120.0,12000.0,3853.68,3468.32,190.76
tlqaf,marwad,commercial,188764.8,175.37,200.0,0.5,100.0,21,0.6,1000,95073.68,4753.68,1,120.0,12000.0,4753.68,4278.32,235.31
dzevj,marwad,commercial,188764.8,175.37,200.0,0.5,100.0,21,0.6,1100,101073.68,5053.68,1,120.0,12000.0,5053.68,4548.32,250.16
nfiwa,marwad,commercial,188764.8,175.37,200.0,0.5,100.0,21,0.6,1300,113073.68,5653.68,1,120.0,12000.0,5653.68,5088.32,279.86
hiskk,marwad,commercial,188764.8,175.37,200.0,0.5,100.0,1,1,700,105073.68,5253.68,2,60.0,6000.0,5253.68,4728.32,260.06
ywxiz,marwad,commercial,188764.8,175.37,200.0,0.5,100.0,1,1,1000,135073.68,6753.68,2,60.0,6000.0,6000.0,5400.0,297.0
fjlop,marwad,commercial,188764.8,175.37,200.0,0.5,100.0,1,1,1100,145073.68,7253.68,2,60.0,6000.0,6000.0,5400.0,297.0
zqqnc,marwad,commercial,188764.8,175.37,200.0,0.5,100.0,1,1,1300,165073.68,8253.68,2,60.0,6000.0,6000.0,5400.0,297.0
njdzz,marwad,commercial,188764.8,175.37,200.0,0.5,100.0,6,0.9,700,98073.68,4903.68,2,60.0,6000.0,4903.68,4413.32,242.73
zeqgr,marwad,commercial,188764.8,175.37,200.0,0.5,100.0,6,0.9,1000,125073.68,6253.68,2,60.0,6000.0,6000.0,5400.0,297.0
fnfci,marwad,commercial,188764.8,175.37,200.0,0.5,100.0,6,0.9,1100,134073.68,6703.68,2,60.0,6000.0,6000.0,5400.0,297.0
papgs,marwad,commercial,188764.8,175.37,200.0,0.5,100.0,6,0.9,1300,152073.68,7603.68,2,60.0,6000.0,6000.0,5400.0,297.0
ieunk,marwad,commercial,188764.8,175.37,200.0,0.5,100.0,11,0.8,700,91073.68,4553.68,2,60.0,6000.0,4553.68,4098.32,225.41
tgvgb,marwad,commercial,188764.8,175.37,200.0,0.5,100.0,11,0.8,1000,115073.68,5753.68,2,60.0,6000.0,5753.68,5178.32,284.81
azypp,marwad,commercial,188764.8,175.37,200.0,0.5,100.0,11,0.8,1100,123073.68,6153.68,2,60.0,6000.0,6000.0,5400.0,297.0
gmebe,marwad,commercial,188764.8,175.37,200.0,0.5,100.0,11,0.8,1300,139073.68,6953.68,2,60.0,6000.0,6000.0,5400.0,297.0
hiqsr,marwad,commercial,188764.8,175.37,200.0,0.5,100.0,16,0.7,700,84073.68,4203.68,2,60.0,6000.0,4203.68,3783.32,208.08
daiwi,marwad,commercial,188764.8,175.37,200.0,0.5,100.0,16,0.7,1000,105073.68,5253.68,2,60.0,6000.0,5253.68,4728.32,260.06
eonrt,marwad,commercial,188764.8,175.37,200.0,0.5,100.0,16,0.7,1100,112073.68,5603.68,2,60.0,6000.0,5603.68,5043.32,277.38
wpaeb,marwad,commercial,188764.8,175.37,200.0,0.5,100.0,16,0.7,1300,126073.68,6303.68,2,60.0,6000.0,6000.0,5400.0,297.0
enlku,marwad,commercial,188764.8,175.37,200.0,0.5,100.0,21,0.6,700,77073.68,3853.68,2,60.0,6000.0,3853.68,3468.32,190.76
zuyqo,marwad,commercial,188764.8,175.37,200.0,0.5,100.0,21,0.6,1000,95073.68,4753.68,2,60.0,6000.0,4753.68,4278.32,235.31
erabg,marwad,commercial,188764.8,175.37,200.0,0.5,100.0,21,0.6,1100,101073.68,5053.68,2,60.0,6000.0,5053.68,4548.32,250.16
yzpnh,marwad,commercial,188764.8,175.37,200.0,0.5,100.0,21,0.6,1300,113073.68,5653.68,2,60.0,6000.0,5653.68,5088.32,279.86
nqthl,marwad,residential,90956.25,84.5,200.0,0.75,150.0,1,1,700,121900.24,6095.01,1,80.0,12000.0,6095.01,5485.51,191.99
valyv,marwad,residential,90956.25,84.5,200.0,0.75,150.0,1,1,1000,166900.24,8345.01,1,80.0,12000.0,8345.01,7510.51,262.87
qkuwt,marwad,residential,90956.25,84.5,200.0,0.75,150.0,1,1,1100,181900.24,9095.01,1,80.0,12000.0,9095.01,8185.51,286.49
dqnfa,marwad,residential,90956.25,84.5,200.0,0.75,150.0,1,1,1300,211900.24,10595.01,1,80.0,12000.0,10595.01,9535.51,333.74
ygxrw,marwad,residential,90956.25,84.5,200.0,0.75,150.0,6,0.9,700,111400.24,5570.01,1,80.0,12000.0,5570.01,5013.01,175.46
tqmqc,marwad,residential,90956.25,84.5,200.0,0.75,150.0,6,0.9,1000,151900.24,7595.01,1,80.0,12000.0,7595.01,6835.51,239.24
kxjih,marwad,residential,90956.25,84.5,200.0,0.75,150.0,6,0.9,1100,165400.24,8270.01,1,80.0,12000.0,8270.01,7443.01,260.51
ffoyc,marwad,residential,90956.25,84.5,200.0,0.75,150.0,6,0.9,1300,192400.24,9620.01,1,80.0,12000.0,9620.01,8658.01,303.03
bpdjy,marwad,residential,90956.25,84.5,200.0,0.75,150.0,11,0.8,700,100900.24,5045.01,1,80.0,12000.0,5045.01,4540.51,158.92
bmwey,marwad,residential,90956.25,84.5,200.0,0.75,150.0,11,0.8,1000,136900.24,6845.01,1,80.0,12000.0,6845.01,6160.51,215.62
eketi,marwad,residential,90956.25,84.5,200.0,0.75,150.0,11,0.8,1100,148900.24,7445.01,1,80.0,12000.0,7445.01,6700.51,234.52
xrgjz,marwad,residential,90956.25,84.5,200.0,0.75,150.0,11,0.8,1300,172900.24,8645.01,1,80.0,12000.0,8645.01,7780.51,272.32
rvgle,marwad,residential,90956.25,84.5,200.0,0.75,150.0,16,0.7,700,90400.24,4520.01,1,80.0,12000.0,4520.01,4068.01,142.38
grebs,marwad,residential,90956.25,84.5,200.0,0.75,150.0,16,0.7,1000,121900.24,6095.01,1,80.0,12000.0,6095.01,5485.51,191.99
eomlg,marwad,residential,90956.25,84.5,200.0,0.75,150.0,16,0.7,1100,132400.24,6620.01,1,80.0,12000.0,6620.01,5958.01,208.53
igqnh,marwad,residential,90956.25,84.5,200.0,0.75,150.0,16,0.7,1300,153400.24,7670.01,1,80.0,12000.0,7670.01,6903.01,241.61
ekeuy,marwad,residential,90956.25,84.5,200.0,0.75,150.0,21,0.6,700,79900.24,3995.01,1,80.0,12000.0,3995.01,3595.51,125.84
vwtfi,marwad,residential,90956.25,84.5,200.0,0.75,150.0,21,0.6,1000,106900.24,5345.01,1,80.0,12000.0,5345.01,4810.51,168.37
ezpgp,marwad,residential,90956.25,84.5,200.0,0.75,150.0,21,0.6,1100,115900.24,5795.01,1,80.0,12000.0,5795.01,5215.51,182.54
cuxpn,marwad,residential,90956.25,84.5,200.0,0.75,150.0,21,0.6,1300,133900.24,6695.01,1,80.0,12000.0,6695.01,6025.51,210.89
sagdn,marwad,residential,90956.25,84.5,200.0,0.75,150.0,1,1,700,121900.24,6095.01,2,40.0,6000.0,6000.0,5400.0,189.0
gyyae,marwad,residential,90956.25,84.5,200.0,0.75,150.0,1,1,1000,166900.24,8345.01,2,40.0,6000.0,6000.0,5400.0,189.0
nzeqq,marwad,residential,90956.25,84.5,200.0,0.75,150.0,1,1,1100,181900.24,9095.01,2,40.0,6000.0,6000.0,5400.0,189.0
xpabw,marwad,residential,90956.25,84.5,200.0,0.75,150.0,1,1,1300,211900.24,10595.01,2,40.0,6000.0,6000.0,5400.0,189.0
lggqn,marwad,residential,90956.25,84.5,200.0,0.75,150.0,6,0.9,700,111400.24,5570.01,2,40.0,6000.0,5570.01,5013.01,175.46
gwhgt,marwad,residential,90956.25,84.5,200.0,0.75,150.0,6,0.9,1000,151900.24,7595.01,2,40.0,6000.0,6000.0,5400.0,189.0
aemzn,marwad,residential,90956.25,84.5,200.0,0.75,150.0,6,0.9,1100,165400.24,8270.01,2,40.0,6000.0,6000.0,5400.0,189.0
igneb,marwad,residential,90956.25,84.5,200.0,0.75,150.0,6,0.9,1300,192400.24,9620.01,2,40.0,6000.0,6000.0,5400.0,189.0
wqufp,marwad,residential,90956.25,84.5,200.0,0.75,150.0,11,0.8,700,100900.24,5045.01,2,40.0,6000.0,5045.01,4540.51,158.92
fovte,marwad,residential,90956.25,84.5,200.0,0.75,150.0,11,0.8,1000,136900.24,6845.01,2,40.0,6000.0,6000.0,5400.0,189.0
dvakr,marwad,residential,90956.25,84.5,200.0,0.75,150.0,11,0.8,1100,148900.24,7445.01,2,40.0,6000.0,6000.0,5400.0,189.0
sxefb,marwad,residential,90956.25,84.5,200.0,0.75,150.0,11,0.8,1300,172900.24,8645.01,2,40.0,6000.0,6000.0,5400.0,189.0
srvme,marwad,residential,90956.25,84.5,200.0,0.75,150.0,16,0.7,700,90400.24,4520.01,2,40.0,6000.0,4520.01,4068.01,142.38
rydtb,marwad,residential,90956.25,84.5,200.0,0.75,150.0,16,0.7,1000,121900.24,6095.01,2,40.0,6000.0,6000.0,5400.0,189.0
okeip,marwad,residential,90956.25,84.5,200.0,0.75,150.0,16,0.7,1100,132400.24,6620.01,2,40.0,6000.0,6000.0,5400.0,189.0
xvixh,marwad,residential,90956.25,84.5,200.0,0.75,150.0,16,0.7,1300,153400.24,7670.01,2,40.0,6000.0,6000.0,5400.0,189.0
xjbfw,marwad,residential,90956.25,84.5,200.0,0.75,150.0,21,0.6,700,79900.24,3995.01,2,40.0,6000.0,3995.01,3595.51,125.84
fykkb,marwad,residential,90956.25,84.5,200.0,0.75,150.0,21,0.6,1000,106900.24,5345.01,2,40.0,6000.0,5345.01,4810.51,168.37
hfgqf,marwad,residential,90956.25,84.5,200.0,0.75,150.0,21,0.6,1100,115900.24,5795.01,2,40.0,6000.0,5795.01,5215.51,182.54
umyop,marwad,residential,90956.25,84.5,200.0,0.75,150.0,21,0.6,1300,133900.24,6695.01,2,40.0,6000.0,6000.0,5400.0,189.0
fttnc,marwad,commercial,188764.8,175.37,200.0,0.75,150.0,1,1,700,140073.68,7003.68,1,120.0,18000.0,7003.68,6303.32,346.68
lebnb,marwad,commercial,188764.8,175.37,200.0,0.75,150.0,1,1,1000,185073.68,9253.68,1,120.0,18000.0,9253.68,8328.32,458.06
fzqyr,marwad,commercial,188764.8,175.37,200.0,0.75,150.0,1,1,1100,200073.68,10003.68,1,120.0,18000.0,10003.68,9003.32,495.18
xdoob,marwad,commercial,188764.8,175.37,200.0,0.75,150.0,1,1,1300,230073.68,11503.68,1,120.0,18000.0,11503.68,10353.32,569.43
scpyn,marwad,commercial,188764.8,175.37,200.0,0.75,150.0,6,0.9,700,129573.68,6478.68,1,120.0,18000.0,6478.68,5830.82,320.69
hyvyp,marwad,commercial,188764.8,175.37,200.0,0.75,150.0,6,0.9,1000,170073.68,8503.68,1,120.0,18000.0,8503.68,7653.32,420.93
psjci,marwad,commercial,188764.8,175.37,200.0,0.75,150.0,6,0.9,1100,183573.68,9178.68,1,120.0,18000.0,9178.68,8260.82,454.34
fakfj,marwad,commercial,188764.8,175.37,200.0,0.75,150.0,6,0.9,1300,210573.68,10528.68,1,120.0,18000.0,10528.68,9475.82,521.17
owynb,marwad,commercial,188764.8,175.37,200.0,0.75,150.0,11,0.8,700,119073.68,5953.68,1,120.0,18000.0,5953.68,5358.32,294.71
stzgu,marwad,commercial,188764.8,175.37,200.0,0.75,150.0,11,0.8,1000,155073.68,7753.68,1,120.0,18000.0,7753.68,6978.32,383.81
nnvwo,marwad,commercial,188764.8,175.37,200.0,0.75,150.0,11,0.8,1100,167073.68,8353.68,1,120.0,18000.0,8353.68,7518.32,413.51
ifozx,marwad,commercial,188764.8,175.37,200.0,0.75,150.0,11,0.8,1300,191073.68,9553.68,1,120.0,18000.0,9553.68,8598.32,472.91
wukyt,marwad,commercial,188764.8,175.37,200.0,0.75,150.0,16,0.7,700,108573.68,5428.68,1,120.0,18000.0,5428.68,4885.82,268.72
ycxhu,marwad,commercial,188764.8,175.37,200.0,0.75,150.0,16,0.7,1000,140073.68,7003.68,1,120.0,18000.0,7003.68,6303.32,346.68
vlmvm,marwad,commercial,188764.8,175.37,200.0,0.75,150.0,16,0.7,1100,150573.68,7528.68,1,120.0,18000.0,7528.68,6775.82,372.67
ktktg,marwad,commercial,188764.8,175.37,200.0,0.75,150.0,16,0.7,1300,171573.68,8578.68,1,120.0,18000.0,8578.68,7720.82,424.64
tvihi,marwad,commercial,188764.8,175.37,200.0,0.75,150.0,21,0.6,700,98073.68,4903.68,1,120.0,18000.0,4903.68,4413.32,242.73
gbxkk,marwad,commercial,188764.8,175.37,200.0,0.75,150.0,21,0.6,1000,125073.68,6253.68,1,120.0,18000.0,6253.68,5628.32,309.56
sjcyd,marwad,commercial,188764.8,175.37,200.0,0.75,150.0,21,0.6,1100,134073.68,6703.68,1,120.0,18000.0,6703.68,6033.32,331.83
tqqga,marwad,commercial,188764.8,175.37,200.0,0.75,150.0,21,0.6,1300,152073.68,7603.68,1,120.0,18000.0,7603.68,6843.32,376.38
xwglk,marwad,commercial,188764.8,175.37,200.0,0.75,150.0,1,1,700,140073.68,7003.68,2,60.0,9000.0,7003.68,6303.32,346.68
muxrz,marwad,commercial,188764.8,175.37,200.0,0.75,150.0,1,1,1000,185073.68,9253.68,2,60.0,9000.0,9000.0,8100.0,445.5
ljktg,marwad,commercial,188764.8,175.37,200.0,0.75,150.0,1,1,1100,200073.68,10003.68,2,60.0,9000.0,9000.0,8100.0,445.5
cazpu,marwad,commercial,188764.8,175.37,200.0,0.75,150.0,1,1,1300,230073.68,11503.68,2,60.0,9000.0,9000.0,8100.0,445.5
qnvkg,marwad,commercial,188764.8,175.37,200.0,0.75,150.0,6,0.9,700,129573.68,6478.68,2,60.0,9000.0,6478.68,5830.82,320.69
esdhm,marwad,commercial,188764.8,175.37,200.0,0.75,150.0,6,0.9,1000,170073.68,8503.68,2,60.0,9000.0,8503.68,7653.32,420.93
fijba,marwad,commercial,188764.8,175.37,200.0,0.75,150.0,6,0.9,1100,183573.68,9178.68,2,60.0,9000.0,9000.0,8100.0,445.5
nvbft,marwad,commercial,188764.8,175.37,200.0,0.75,150.0,6,0.9,1300,210573.68,10528.68,2,60.0,9000.0,9000.0,8100.0,445.5
tfdji,marwad,commercial,188764.8,175.37,200.0,0.75,150.0,11,0.8,700,119073.68,5953.68,2,60.0,9000.0,5953.68,5358.32,294.71
lwxvc,marwad,commercial,188764.8,175.37,200.0,0.75,150.0,11,0.8,1000,155073.68,7753.68,2,60.0,9000.0,7753.68,6978.32,383.81
zbing,marwad,commercial,188764.8,175.37,200.0,0.75,150.0,11,0.8,1100,167073.68,8353.68,2,60.0,9000.0,8353.68,7518.32,413.51
mvhhh,marwad,commercial,188764.8,175.37,200.0,0.75,150.0,11,0.8,1300,191073.68,9553.68,2,60.0,9000.0,9000.0,8100.0,445.5
rgbhz,marwad,commercial,188764.8,175.37,200.0,0.75,150.0,16,0.7,700,108573.68,5428.68,2,60.0,9000.0,5428.68,4885.82,268.72
reffr,marwad,commercial,188764.8,175.37,200.0,0.75,150.0,16,0.7,1000,140073.68,7003.68,2,60.0,9000.0,7003.68,6303.32,346.68
cjnio,marwad,commercial,188764.8,175.37,200.0,0.75,150.0,16,0.7,1100,150573.68,7528.68,2,60.0,9000.0,7528.68,6775.82,372.67
mnqxf,marwad,commercial,188764.8,175.37,200.0,0.75,150.0,16,0.7,1300,171573.68,8578.68,2,60.0,9000.0,8578.68,7720.82,424.64
chjmy,marwad,commercial,188764.8,175.37,200.0,0.75,150.0,21,0.6,700,98073.68,4903.68,2,60.0,9000.0,4903.68,4413.32,242.73
uarss,marwad,commercial,188764.8,175.37,200.0,0.75,150.0,21,0.6,1000,125073.68,6253.68,2,60.0,9000.0,6253.68,5628.32,309.56
fkwey,marwad,commercial,188764.8,175.37,200.0,0.75,150.0,21,0.6,1100,134073.68,6703.68,2,60.0,9000.0,6703.68,6033.32,331.83
kutvt,marwad,commercial,188764.8,175.37,200.0,0.75,150.0,21,0.6,1300,152073.68,7603.68,2,60.0,9000.0,7603.68,6843.32,376.38
cctae,marwad,residential,90956.25,84.5,200.0,1.0,200.0,1,1,700,156900.24,7845.01,1,80.0,16000.0,7845.01,7060.51,247.12
vfbnh,marwad,residential,90956.25,84.5,200.0,1.0,200.0,1,1,1000,216900.24,10845.01,1,80.0,16000.0,10845.01,9760.51,341.62
vtnak,marwad,residential,90956.25,84.5,200.0,1.0,200.0,1,1,1100,236900.24,11845.01,1,80.0,16000.0,11845.01,10660.51,373.12
tpies,marwad,residential,90956.25,84.5,200.0,1.0,200.0,1,1,1300,276900.24,13845.01,1,80.0,16000.0,13845.01,12460.51,436.12
coeib,marwad,residential,90956.25,84.5,200.0,1.0,200.0,6,0.9,700,142900.24,7145.01,1,80.0,16000.0,7145.01,6430.51,225.07
iaghi,marwad,residential,90956.25,84.5,200.0,1.0,200.0,6,0.9,1000,196900.24,9845.01,1,80.0,16000.0,9845.01,8860.51,310.12
okljg,marwad,residential,90956.25,84.5,200.0,1.0,200.0,6,0.9,1100,214900.24,10745.01,1,80.0,16000.0,10745.01,9670.51,338.47
pcrmv,marwad,residential,90956.25,84.5,200.0,1.0,200.0,6,0.9,1300,250900.24,12545.01,1,80.0,16000.0,12545.01,11290.51,395.17
nqqox,marwad,residential,90956.25,84.5,200.0,1.0,200.0,11,0.8,700,128900.24,6445.01,1,80.0,16000.0,6445.01,5800.51,203.02
gujqw,marwad,residential,90956.25,84.5,200.0,1.0,200.0,11,0.8,1000,176900.24,8845.01,1,80.0,16000.0,8845.01,7960.51,278.62
qfojf,marwad,residential,90956.25,84.5,200.0,1.0,200.0,11,0.8,1100,192900.24,9645.01,1,80.0,16000.0,9645.01,8680.51,303.82
rfhbn,marwad,residential,90956.25,84.5,200.0,1.0,200.0,11,0.8,1300,224900.24,11245.01,1,80.0,16000.0,11245.01,10120.51,354.22
gyrlv,marwad,residential,90956.25,84.5,200.0,1.0,200.0,16,0.7,700,114900.24,5745.01,1,80.0,16000.0,5745.01,5170.51,180.97
jkhyt,marwad,residential,90956.25,84.5,200.0,1.0,200.0,16,0.7,1000,156900.24,7845.01,1,80.0,16000.0,7845.01,7060.51,247.12
zyzjm,marwad,residential,90956.25,84.5,200.0,1.0,200.0,16,0.7,1100,170900.24,8545.01,1,80.0,16000.0,8545.01,7690.51,269.17
mpeik,marwad,residential,90956.25,84.5,200.0,1.0,200.0,16,0.7,1300,198900.24,9945.01,1,80.0,16000.0,9945.01,8950.51,313.27
skfid,marwad,residential,90956.25,84.5,200.0,1.0,200.0,21,0.6,700,100900.24,5045.01,1,80.0,16000.0,5045.01,4540.51,158.92
enyle,marwad,residential,90956.25,84.5,200.0,1.0,200.0,21,0.6,1000,136900.24,6845.01,1,80.0,16000.0,6845.01,6160.51,215.62
ezwdm,marwad,residential,90956.25,84.5,200.0,1.0,200.0,21,0.6,1100,148900.24,7445.01,1,80.0,16000.0,7445.01,6700.51,234.52
